"name","height","weight","games","touchdowns","points","two_point_points","total_singles","fumbles","fumbles_lost","fumble_return_yards","fumble_touchdowns"
"Dahrran_Diedrick",6,222,6,0,0,0,0,0,0,0,0
"Daivon_Dumas",6.01,178,2,0,0,0,0,0,0,0,0
"Damaso_Munoz ",5.11,219,30,0,0,0,0,0,0,6,0
"Damian_Ford",6.03,192,1,0,0,0,0,0,0,0,0
"Damien_Jackson",6.02,215,1,0,0,0,0,0,0,0,0
"Damien_Thigpen",5.08,180,1,0,0,0,0,0,0,0,0
"Damone_Blackman",5.11,170,1,0,0,0,0,0,0,0,0
"Damon_McDaniel",6,208,1,0,0,0,0,0,0,0,0
"Dan _Buckner",6.04,215,1,0,0,0,0,0,0,0,0
"Dan_Clark",6.02,310,6,2,12,0,0,0,0,0,0
"Dan_DePalma",5.11,192,3,1,6,0,0,0,0,0,0
"Dan_Federkeil",6.07,306,2,0,0,0,0,0,0,0,0
"Daniel_Ross",6.05,305,2,0,0,0,0,0,0,0,0
"Daniel_Sheffield",6.04,210,1,0,0,0,0,0,0,0,0
"Dan_LeFevour",6.03,230,28,14,84,0,0,3,1,0,0
"Dan_Molls",6,238,2,0,0,0,0,0,0,0,0
"Danny_O'Brien",6.03,220,15,0,0,0,0,1,0,0,0
"Dante_Marsh",5.1,190,34,1,6,0,0,0,0,2,0
"D'Anthony_Batiste",6.04,314,2,0,0,0,0,0,0,0,0
"Dan_West",6.02,205,22,0,0,0,0,0,0,0,0
"Da'Rel_Scott",5.11,211,1,0,0,0,0,0,0,0,0
"Darian_Durant",5.11,214,36,2,12,0,0,14,7,0,0
"Darrin_Kitchens",6.02,229,5,0,0,0,0,0,0,0,0
"Darvin_Adams",6.02,185,18,4,24,0,0,3,3,0,0
"Darwin_Cook",5.1,202,1,0,0,0,0,0,0,0,0
"Daryl_Stephenson",6.02,228,8,0,0,0,0,0,0,0,0
"Daryl_Townsend",6.01,198,25,0,0,0,0,0,0,0,0
"Daryl_Waud",6.05,290,4,0,0,0,0,0,0,0,0
"Daunte_Akra",6.02,227,1,0,0,0,0,0,0,0,0
"Dave_Stala",6.02,198,18,0,2,0,2,0,0,0,0
"David_Caldwell",5.11,212,7,0,0,0,0,0,0,0,0
"David _Clowney",6,188,1,0,0,0,0,0,0,0,0
"David _Hinds",6.02,234,5,0,0,0,0,0,0,0,0
"David_James",6,188,2,0,0,0,0,0,0,0,0
"David _Lee",6.04,259,24,1,6,0,0,0,0,13,1
"David_Menard",6.01,265,15,0,0,0,0,0,0,0,0
"Dawud_Lane",6.02,226,1,0,0,0,0,0,0,0,0
"DeAngelo_Smith",5.11,197,1,0,0,0,0,0,0,0,0
"Deante_Purvis",5.11,185,1,0,0,0,0,0,0,0,0
"Deantre_Harlan",6.04,288,2,0,0,0,0,0,0,0,0
"Dean_Valli",6.05,300,3,0,0,0,0,0,0,0,0
"DeDe _Dorsey",5.11,210,1,1,6,0,0,0,0,0,0
"Dee_Webb",5.11,200,11,1,6,0,0,0,0,0,0
"Deion_Belue",5.11,183,2,0,0,0,0,0,0,0,0
"Dekota_Marshall",6.01,196,1,0,0,0,0,0,0,0,0
"Delano_Johnson",6.05,283,15,0,0,0,0,0,0,0,0
"Delbert _Alvarado",6,198,11,0,71,0,1,1,0,0,0
"Delvin_Breaux",6.01,196,32,1,6,0,0,0,0,0,0
"DeMarco_Sampson",6.02,204,1,0,0,0,0,1,0,0,0
"Demetrice_Morley",6,195,8,0,0,0,0,0,0,0,0
"Demetrius_Wright",6.01,199,2,0,0,0,0,0,0,0,0
"Demond_Washington",5.09,180,42,3,18,0,0,3,3,39,1
"Demonte'_Bolden",6.05,285,22,0,0,0,0,0,0,10,0
"Denarius_Appling",5.07,155,2,0,0,0,0,0,0,0,0
"Denicos_Allen",5.11,220,1,0,0,0,0,0,0,0,0
"Denton_Kolodzinski",6.01,220,1,0,0,0,0,0,0,0,0
"Deon_Anthony",5.11,214,1,0,0,0,0,0,0,0,0
"Deon_Lacey",6.02,229,27,0,0,0,0,0,0,1,0
"DeQuin_Evans",6.03,264,12,0,0,0,0,0,0,0,0
"Derek_Jones",6.01,192,13,0,0,0,0,0,0,0,0
"Derek_Walker",6.04,271,21,0,0,0,0,0,0,0,0
"Derek_Wiggan",6.01,250,3,0,0,0,0,0,0,0,0
"Derel_Walker",6.02,185,2,1,6,0,0,0,0,0,0
"Deron_Mayo",5.11,225,47,0,0,0,0,0,0,0,0
"Derrell_Johnson",6.02,255,5,0,0,0,0,0,0,0,0
"Derrick_Joseph",5.08,145,1,0,0,0,0,0,0,0,0
"Derrick_Morgan",5.11,210,1,0,0,0,0,1,0,0,0
"Derrius_Brooks",5.1,195,12,0,0,0,0,0,0,0,0
"Desia_Dunn",5.09,194,35,1,6,0,0,0,0,70,1
"Devin_Smith",5.1,193,6,0,0,0,0,0,0,0,0
"Devin_Tyler",6.07,320,2,0,0,0,0,0,0,0,0
"Devin_Wilson",6.02,205,1,0,0,0,0,0,0,0,0
"Devon_Bailey",6.05,202,15,0,0,0,0,1,1,0,0
"Dexter_Davis",6.01666666666667,234.333333333333,4,0,0,0,0,0,0,0,0
"Dexter_Janke",6,220,1,0,0,0,0,0,0,0,0
"Dexter_McCoil",6.04,222,28,3,18,0,0,0,0,79,1
"Diamond_Ferri",5.1,204,21,0,0,0,0,0,0,0,0
"Diontae_Spencer",5.08,163,2,1,6,0,0,2,1,0,0
